Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Minorshome,TotalMnt,TotalPurchases,TotalCampPar,Age
Graduation,Married,38415.0,2013-01-02,91,22.0,1.0,13.0,4.0,0.0,4.0,2,1,0,3,7,0,0,0,0,0,0,0,2,44.0,4,0,35
Graduation,Single,20518.0,2014-05-18,58,4.0,1.0,6.0,4.0,1.0,9.0,1,1,1,2,5,0,0,0,0,0,0,0,1,25.0,4,0,26
Graduation,Married,62503.0,2013-02-18,40,478.0,0.0,193.0,110.0,75.0,117.0,4,8,3,11,5,0,0,0,0,0,0,0,1,973.0,22,0,57
PhD,Single,41644.0,2014-05-09,67,20.0,3.0,4.0,2.0,0.0,2.0,2,1,0,3,3,0,0,0,0,0,0,0,2,31.0,4,0,42
Master,Married,55842.0,2014-05-23,19,451.0,0.0,39.0,0.0,4.0,24.0,1,7,1,8,5,0,0,0,0,0,0,0,1,518.0,16,0,37
PhD,Married,62010.0,2012-10-23,93,371.0,22.0,39.0,6.0,0.0,92.0,4,6,2,7,5,0,0,0,0,0,0,0,1,530.0,15,0,40
Graduation,Married,41124.0,2012-10-31,41,281.0,7.0,84.0,15.0,0.0,119.0,7,7,3,4,8,0,0,0,0,0,0,0,1,506.0,14,0,35
Master,Married,38961.0,2013-12-30,60,19.0,7.0,19.0,0.0,1.0,24.0,1,2,1,2,7,0,0,0,0,0,0,0,1,70.0,5,0,40
Master,Single,37760.0,2013-08-11,54,26.0,3.0,13.0,2.0,10.0,0.0,1,2,0,3,6,0,0,0,0,0,0,0,1,54.0,5,0,41
Graduation,Single,32233.0,2012-08-19,26,138.0,15.0,35.0,25.0,11.0,72.0,2,6,2,2,9,1,0,0,0,0,0,1,1,296.0,10,1,38
Graduation,Married,43057.0,2013-10-30,30,213.0,2.0,44.0,0.0,2.0,5.0,4,4,2,5,5,0,0,0,0,0,0,0,1,266.0,11,0,38
Master,Married,83151.0,2012-10-10,93,407.0,28.0,100.0,120.0,74.0,18.0,1,5,9,4,3,0,0,0,0,0,0,0,0,747.0,18,0,52
PhD,Single,78825.0,2012-09-14,35,483.0,74.0,114.0,169.0,37.0,18.0,1,5,10,13,3,0,0,0,0,0,0,1,0,895.0,28,0,48
Master,Married,65104.0,2013-11-14,4,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,0,0,0,0,0,0,1,1053.0,15,0,37
Graduation,Married,60093.0,2013-06-26,92,502.0,12.0,109.0,16.0,6.0,90.0,2,7,2,10,6,0,0,0,0,0,0,0,1,735.0,19,0,39
Graduation,Married,14045.0,2014-01-26,24,11.0,0.0,5.0,2.0,1.0,1.0,1,1,0,3,7,0,0,0,0,0,0,0,1,20.0,4,0,45
2n Cycle,Single,28457.0,2012-10-28,96,24.0,1.0,108.0,29.0,29.0,14.0,1,4,1,4,8,0,0,0,0,0,0,0,0,205.0,9,0,60
PhD,Married,78952.0,2012-09-24,11,1170.0,19.0,594.0,99.0,76.0,134.0,2,2,5,12,6,0,0,0,0,0,0,0,1,2092.0,19,0,54
Graduation,Single,46310.0,2012-12-03,99,185.0,2.0,88.0,15.0,5.0,14.0,2,6,1,5,8,0,0,0,0,0,0,0,1,309.0,12,0,36
Graduation,Married,76005.0,2013-02-22,72,983.0,20.0,389.0,240.0,50.0,40.0,1,3,5,13,6,0,0,0,1,0,0,0,0,1722.0,21,1,58
Master,Single,58308.0,2013-01-12,77,691.0,0.0,69.0,10.0,0.0,130.0,4,2,6,3,8,0,0,0,0,0,0,0,1,900.0,11,0,49
PhD,Single,55614.0,2013-11-27,85,504.0,13.0,131.0,8.0,0.0,26.0,1,9,4,6,7,0,1,0,0,0,0,0,0,682.0,19,1,69
Master,Single,59432.0,2013-04-13,88,317.0,25.0,265.0,25.0,19.0,12.0,3,5,3,11,5,0,0,0,0,0,0,0,1,663.0,19,0,51
Graduation,Single,55563.0,2014-04-05,22,29.0,1.0,9.0,2.0,0.0,2.0,1,2,0,3,3,0,0,0,0,0,0,0,1,43.0,5,0,36
PhD,Married,78642.0,2013-04-21,83,1396.0,0.0,322.0,46.0,35.0,17.0,1,4,9,4,6,0,0,0,0,0,0,0,1,1816.0,17,0,42
PhD,Married,67911.0,2014-05-22,63,529.0,0.0,356.0,63.0,28.0,0.0,3,6,7,11,3,0,0,0,0,0,0,0,1,976.0,24,0,65
Graduation,Married,65275.0,2013-04-03,9,388.0,14.0,218.0,91.0,14.0,21.0,1,4,3,13,2,0,0,0,0,0,0,0,0,746.0,20,0,69
Graduation,Married,27203.0,2012-08-06,92,13.0,2.0,21.0,4.0,0.0,24.0,2,1,1,2,8,0,0,0,0,0,0,0,2,64.0,4,0,62
Master,Married,48330.0,2013-11-15,2,28.0,0.0,4.0,0.0,0.0,0.0,1,1,0,3,5,0,0,0,0,0,0,0,1,32.0,4,0,52
High School,Married,24279.0,2012-12-29,6,16.0,36.0,21.0,20.0,62.0,108.0,1,4,1,3,8,0,0,0,0,0,0,0,0,263.0,8,0,22
PhD,Married,64355.0,2012-08-24,66,1047.0,0.0,140.0,67.0,38.0,153.0,2,4,3,12,8,0,0,0,0,0,0,0,1,1445.0,19,0,27
Master,Married,50943.0,2013-06-21,49,31.0,0.0,7.0,2.0,0.0,6.0,1,1,0,3,5,0,0,0,0,0,0,0,1,46.0,4,0,57
Graduation,Single,53653.0,2012-11-07,29,815.0,10.0,239.0,28.0,10.0,108.0,2,10,4,12,6,0,0,0,0,0,0,0,0,1210.0,26,0,59
Graduation,Married,65665.0,2013-12-02,77,225.0,162.0,387.0,106.0,36.0,29.0,1,5,10,8,3,0,0,0,0,0,0,0,1,945.0,23,0,37
Graduation,Single,81217.0,2013-07-19,77,493.0,70.0,324.0,146.0,40.0,84.0,1,3,7,11,1,0,0,0,0,0,0,0,0,1157.0,21,0,24
Graduation,Married,34935.0,2013-06-21,71,34.0,4.0,66.0,3.0,10.0,20.0,1,2,1,4,7,0,0,0,0,0,0,0,0,137.0,7,0,21
Graduation,Single,61250.0,2012-12-16,49,382.0,138.0,65.0,60.0,26.0,59.0,6,5,2,12,5,0,0,0,0,0,0,0,1,730.0,19,0,53
PhD,Married,39665.0,2013-05-25,97,127.0,1.0,56.0,0.0,1.0,31.0,3,4,2,3,7,1,0,0,0,0,0,0,1,216.0,9,1,32
Graduation,Single,60152.0,2013-03-28,6,325.0,83.0,300.0,86.0,58.0,91.0,1,6,4,12,3,0,0,0,0,0,0,0,1,943.0,22,0,34
Graduation,Married,48920.0,2013-10-20,93,238.0,17.0,68.0,8.0,10.0,6.0,3,6,2,5,7,0,1,0,0,0,0,0,2,347.0,13,1,49
Master,Married,89120.0,2014-03-17,78,1168.0,92.0,408.0,72.0,129.0,55.0,1,5,6,7,1,0,0,1,0,0,0,0,0,1924.0,18,1,55
PhD,Married,44124.0,2013-05-11,62,284.0,0.0,55.0,0.0,6.0,52.0,4,6,2,5,8,0,0,0,0,0,0,0,1,397.0,13,0,67
Master,Single,81169.0,2013-04-14,47,1288.0,20.0,613.0,80.0,61.0,27.0,1,5,7,9,2,0,0,0,0,0,0,0,0,2089.0,21,0,38
Graduation,Married,36443.0,2013-02-03,9,65.0,0.0,46.0,4.0,3.0,20.0,4,3,1,3,8,0,0,0,0,0,0,0,2,138.0,7,0,52
Graduation,Single,26095.0,2013-06-30,77,11.0,7.0,9.0,3.0,1.0,11.0,1,1,0,3,7,0,0,0,0,0,0,0,1,42.0,4,0,23
Graduation,Married,71367.0,2013-08-23,24,227.0,23.0,389.0,42.0,21.0,75.0,1,4,5,7,2,0,0,0,0,0,0,0,0,777.0,16,0,54
Master,Married,80184.0,2014-03-01,19,1035.0,134.0,670.0,25.0,38.0,0.0,1,6,3,10,3,0,0,1,1,0,0,0,0,1902.0,19,2,70
Graduation,Single,30630.0,2014-01-27,67,27.0,1.0,12.0,2.0,0.0,10.0,2,2,0,3,7,0,0,0,0,0,0,0,2,52.0,5,0,49
Master,Single,73454.0,2014-03-01,95,982.0,73.0,351.0,56.0,14.0,175.0,1,2,4,6,5,1,0,0,0,0,0,0,0,1651.0,12,1,27
Graduation,Married,42691.0,2013-08-16,48,179.0,2.0,64.0,38.0,17.0,58.0,1,5,1,6,5,0,0,0,0,0,0,0,0,358.0,12,0,22
Graduation,Married,70503.0,2012-09-30,73,1379.0,33.0,216.0,0.0,33.0,66.0,1,2,4,9,6,0,1,1,0,0,0,0,0,1727.0,15,2,59
Graduation,Married,25545.0,2012-09-08,35,32.0,1.0,64.0,16.0,12.0,85.0,3,2,2,3,6,0,0,0,0,0,0,1,1,210.0,7,0,25
Graduation,Married,32880.0,2012-12-04,76,8.0,4.0,15.0,7.0,6.0,2.0,1,1,0,3,8,0,0,0,0,0,0,0,1,42.0,4,0,26
PhD,Married,77863.0,2013-11-27,20,881.0,38.0,319.0,16.0,25.0,12.0,1,4,5,10,2,0,0,0,0,0,0,0,0,1291.0,19,0,55
Master,Married,50353.0,2014-06-08,72,141.0,15.0,153.0,67.0,31.0,35.0,1,4,4,6,3,0,0,0,0,0,0,0,0,442.0,14,0,37
Graduation,Single,61839.0,2012-08-12,20,1000.0,155.0,379.0,224.0,17.0,120.0,1,4,8,4,8,0,0,0,0,0,0,0,0,1895.0,16,0,48
PhD,Married,49154.0,2013-11-03,69,206.0,10.0,67.0,30.0,27.0,71.0,6,4,1,8,6,0,0,0,0,0,0,0,2,411.0,13,0,53
2n Cycle,Single,47682.0,2013-02-15,80,162.0,61.0,83.0,97.0,57.0,61.0,4,4,3,8,5,0,0,0,0,0,0,0,1,521.0,15,0,38
Graduation,Single,72679.0,2013-09-18,65,619.0,54.0,260.0,127.0,54.0,54.0,1,4,7,5,1,0,0,0,0,0,0,0,1,1168.0,16,0,44
Master,Married,57954.0,2014-06-18,52,456.0,4.0,24.0,0.0,0.0,9.0,7,8,2,6,7,0,1,0,0,0,0,0,2,493.0,16,1,37
Graduation,Married,65316.0,2013-04-24,65,112.0,6.0,92.0,3.0,9.0,38.0,2,3,2,5,4,0,0,0,0,0,0,0,2,260.0,10,0,51
Graduation,Single,28567.0,2013-06-17,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,0,0,0,0,0,0,1,46.0,5,0,31
Master,Married,47352.0,2013-04-11,70,172.0,12.0,112.0,8.0,0.0,15.0,4,6,1,5,7,0,0,0,0,0,0,0,1,319.0,12,0,62
Graduation,Married,44931.0,2014-01-18,0,78.0,0.0,11.0,0.0,0.0,7.0,1,2,1,3,5,0,0,0,0,0,0,0,1,96.0,6,0,47
Graduation,Single,76982.0,2014-02-15,19,464.0,151.0,292.0,65.0,60.0,30.0,1,8,3,4,4,0,0,1,0,0,0,1,0,1062.0,15,1,47
2n Cycle,Married,57247.0,2013-08-08,50,99.0,4.0,32.0,37.0,54.0,6.0,2,2,1,7,2,0,0,0,0,0,0,0,1,232.0,10,0,61
Master,Single,22944.0,2013-12-23,67,19.0,3.0,19.0,4.0,5.0,26.0,3,3,0,3,7,0,0,0,0,0,0,0,1,76.0,6,0,32
2n Cycle,Married,25315.0,2013-11-07,46,1.0,9.0,8.0,11.0,3.0,22.0,3,3,0,3,8,0,0,0,0,0,0,0,1,54.0,6,0,36
Graduation,Single,43638.0,2012-08-06,37,63.0,10.0,83.0,7.0,19.0,19.0,2,4,1,4,7,0,0,0,0,0,0,0,1,201.0,9,0,43
PhD,Single,42710.0,2012-11-28,38,252.0,3.0,42.0,4.0,3.0,102.0,2,4,5,3,6,0,0,0,0,0,0,0,1,406.0,12,0,28
PhD,Married,84169.0,2013-08-07,9,1478.0,19.0,403.0,0.0,19.0,0.0,1,7,6,6,3,0,1,1,0,0,0,1,0,1919.0,19,2,31
Graduation,Married,54058.0,2013-06-04,56,198.0,18.0,252.0,32.0,108.0,54.0,2,4,6,8,3,0,0,0,0,0,0,0,1,662.0,18,0,37
2n Cycle,Married,24683.0,2014-03-08,98,8.0,4.0,10.0,6.0,7.0,6.0,2,2,0,4,5,0,0,0,0,0,0,0,1,41.0,6,0,24
Graduation,Single,85620.0,2014-01-07,68,416.0,46.0,925.0,60.0,107.0,46.0,1,3,6,4,1,0,0,0,0,0,0,1,0,1600.0,13,0,50
Graduation,Married,47850.0,2013-12-03,72,42.0,7.0,43.0,20.0,12.0,10.0,1,3,0,4,6,0,0,0,0,0,0,0,1,134.0,7,0,33
Graduation,Married,19514.0,2014-01-26,47,14.0,3.0,21.0,2.0,1.0,28.0,4,3,1,2,8,1,0,0,0,0,0,1,2,69.0,6,1,46
Master,Married,27159.0,2014-03-29,33,17.0,0.0,3.0,0.0,0.0,1.0,2,1,0,3,6,0,0,0,0,0,0,0,2,21.0,4,0,41
2n Cycle,Single,39548.0,2014-03-31,87,15.0,4.0,10.0,3.0,4.0,18.0,2,1,1,3,3,0,0,0,0,0,0,0,2,54.0,5,0,51
Graduation,Single,21474.0,2014-04-08,0,6.0,16.0,24.0,11.0,0.0,34.0,2,3,1,2,7,1,0,0,0,0,0,1,1,91.0,6,1,25
PhD,Single,60504.0,2014-02-07,73,458.0,0.0,24.0,6.0,4.0,34.0,2,6,2,8,6,0,0,0,0,0,0,0,1,526.0,16,0,43
Graduation,Married,22419.0,2013-04-18,74,30.0,3.0,47.0,19.0,21.0,42.0,1,3,2,2,8,0,0,0,0,0,0,0,0,162.0,7,0,50
Master,Married,81698.0,2013-11-06,4,179.0,28.0,520.0,111.0,123.0,47.0,1,3,8,13,1,0,0,0,0,0,0,1,0,1008.0,24,0,64
Graduation,Married,43462.0,2012-09-12,50,90.0,17.0,97.0,15.0,6.0,15.0,6,4,1,5,8,0,0,0,0,0,0,0,2,240.0,10,0,60
PhD,Single,54880.0,2013-03-01,57,308.0,85.0,137.0,102.0,45.0,118.0,2,6,2,11,5,0,0,0,0,0,0,0,1,795.0,19,0,35
Graduation,Married,79908.0,2013-04-05,30,557.0,129.0,761.0,29.0,185.0,111.0,1,5,6,7,2,0,0,1,0,0,0,0,0,1772.0,18,1,31
2n Cycle,Married,15315.0,2013-08-03,27,7.0,4.0,13.0,15.0,8.0,17.0,2,2,0,4,5,0,0,0,0,0,0,0,0,64.0,6,0,43
Graduation,Married,87771.0,2013-05-22,61,1492.0,38.0,287.0,50.0,57.0,33.0,1,5,10,4,6,0,1,1,1,1,0,1,1,1957.0,19,4,54
Graduation,Married,33039.0,2013-09-09,4,30.0,8.0,12.0,8.0,8.0,12.0,1,2,0,4,5,0,0,0,0,0,0,0,1,78.0,6,0,35
Graduation,Single,81741.0,2013-06-16,75,249.0,153.0,940.0,58.0,134.0,38.0,0,6,6,7,2,0,0,0,0,0,0,0,0,1572.0,19,0,33
Master,Married,71499.0,2013-06-25,12,465.0,25.0,132.0,136.0,0.0,37.0,2,8,3,13,4,0,0,0,0,0,0,0,1,795.0,24,0,42
2n Cycle,Married,62466.0,2014-01-15,13,129.0,129.0,259.0,168.0,121.0,83.0,5,6,3,12,4,0,0,0,0,0,0,0,1,889.0,21,0,44
PhD,Single,48799.0,2013-11-05,9,174.0,18.0,81.0,28.0,6.0,24.0,3,3,2,7,3,0,0,0,0,0,0,0,1,331.0,12,0,50
PhD,Married,52157.0,2014-06-07,48,189.0,2.0,29.0,3.0,2.0,40.0,2,3,2,5,4,0,0,0,0,0,0,0,1,265.0,10,0,64
Graduation,Single,66565.0,2012-12-05,80,747.0,10.0,161.0,65.0,40.0,42.0,4,4,2,9,8,0,0,0,0,0,0,0,1,1065.0,15,0,50
Master,Married,29298.0,2013-09-07,60,6.0,0.0,2.0,2.0,0.0,1.0,1,1,0,2,5,0,0,0,0,0,0,0,2,11.0,3,0,62
Graduation,Single,47691.0,2013-07-05,43,14.0,0.0,3.0,0.0,0.0,4.0,1,1,0,2,6,0,0,0,0,0,0,0,1,21.0,3,0,34
Graduation,Married,38200.0,2012-12-07,19,12.0,0.0,4.0,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,2,17.0,3,0,42
Graduation,Married,44989.0,2012-09-12,26,98.0,0.0,106.0,49.0,10.0,106.0,5,5,1,5,6,0,0,0,0,0,0,0,1,369.0,11,0,38
PhD,Married,38443.0,2014-01-27,58,32.0,0.0,5.0,0.0,0.0,1.0,2,1,0,3,7,0,0,0,0,0,0,0,2,38.0,4,0,46
2n Cycle,Single,38593.0,2013-09-13,42,51.0,12.0,49.0,17.0,24.0,24.0,3,4,1,3,8,0,0,0,0,0,0,0,1,177.0,8,0,35
PhD,Married,64413.0,2013-08-01,27,200.0,5.0,44.0,0.0,10.0,20.0,1,5,1,5,5,0,0,0,0,0,0,0,1,279.0,11,0,43
Master,Married,36959.0,2013-10-02,56,25.0,6.0,25.0,6.0,0.0,0.0,2,2,0,3,8,0,0,0,0,0,0,0,1,62.0,5,0,32
PhD,Married,61996.0,2013-01-31,27,1050.0,12.0,144.0,0.0,0.0,24.0,3,6,4,8,5,0,1,0,1,1,0,1,1,1230.0,18,3,36
Graduation,Married,51287.0,2014-04-01,10,117.0,0.0,22.0,13.0,0.0,30.0,3,4,1,3,7,0,0,0,0,0,0,0,2,182.0,8,0,46
Graduation,Married,13260.0,2013-08-23,48,9.0,4.0,17.0,10.0,2.0,7.0,4,3,0,3,8,0,0,0,0,0,0,0,2,49.0,6,0,43
PhD,Married,47472.0,2013-09-16,39,56.0,0.0,11.0,0.0,0.0,8.0,2,2,0,4,5,0,0,0,0,0,0,0,2,75.0,6,0,47
Master,Married,54603.0,2013-07-09,85,145.0,13.0,46.0,17.0,2.0,4.0,6,4,2,4,7,0,0,0,0,0,0,0,2,227.0,10,0,57
PhD,Married,45207.0,2012-11-10,64,203.0,0.0,10.0,0.0,0.0,2.0,5,3,1,6,6,0,1,0,0,0,0,0,2,215.0,10,1,38
Graduation,Married,40689.0,2013-03-18,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,0,0,0,0,0,0,1,444.0,13,0,62
2n Cycle,Married,47821.0,2013-10-20,54,9.0,0.0,16.0,6.0,6.0,10.0,1,1,0,3,8,0,0,0,0,0,0,0,2,47.0,4,0,46
Master,Married,27450.0,2013-04-15,57,37.0,12.0,23.0,8.0,11.0,52.0,1,2,1,3,7,0,0,0,0,0,0,0,0,143.0,6,0,62
Graduation,Married,39453.0,2014-04-03,64,46.0,0.0,7.0,0.0,0.0,2.0,2,2,0,3,6,0,0,0,0,0,0,0,1,55.0,5,0,31
2n Cycle,Married,26850.0,2014-04-18,10,31.0,1.0,13.0,7.0,2.0,9.0,4,2,1,4,4,0,0,0,0,0,0,0,2,63.0,7,0,43
Graduation,Single,79800.0,2012-09-23,65,1060.0,21.0,530.0,32.0,0.0,224.0,1,5,11,5,3,1,0,1,1,0,0,1,0,1867.0,21,3,57
Master,Married,61794.0,2013-09-14,74,264.0,47.0,188.0,54.0,47.0,11.0,2,4,4,10,2,0,0,0,0,0,0,0,1,611.0,18,0,52
Graduation,Married,53863.0,2014-05-17,4,399.0,4.0,30.0,6.0,4.0,30.0,3,7,1,7,7,0,1,0,0,0,0,0,1,473.0,15,1,59
Graduation,Married,24221.0,2013-08-20,94,8.0,9.0,9.0,2.0,5.0,22.0,1,1,1,3,4,0,0,0,0,0,0,0,0,55.0,5,0,54
PhD,Single,39684.0,2012-10-12,41,19.0,0.0,35.0,6.0,4.0,17.0,2,2,1,2,7,0,0,0,0,0,1,1,1,81.0,5,0,28
Master,Married,92163.0,2012-12-12,25,817.0,183.0,797.0,106.0,163.0,20.0,0,5,11,5,2,0,0,1,1,0,0,1,0,2086.0,21,2,37
Master,Single,69882.0,2013-11-10,94,292.0,127.0,635.0,132.0,127.0,165.0,1,3,7,9,1,0,0,0,0,0,0,0,0,1478.0,19,0,48
Graduation,Married,33178.0,2014-01-30,9,12.0,6.0,2.0,11.0,2.0,16.0,1,1,0,3,4,0,0,0,0,0,0,0,1,49.0,4,0,37
PhD,Married,59973.0,2013-09-11,47,130.0,30.0,168.0,20.0,34.0,0.0,1,3,4,7,1,0,0,0,0,0,0,0,0,382.0,14,0,41
Master,Married,17459.0,2013-09-19,12,6.0,4.0,16.0,3.0,10.0,30.0,3,3,1,2,7,0,0,0,0,0,0,1,1,69.0,6,0,38
Graduation,Single,23910.0,2012-10-26,80,16.0,12.0,18.0,7.0,1.0,13.0,1,2,0,3,7,0,0,0,0,0,0,0,1,67.0,5,0,43
Master,Married,42169.0,2013-10-19,20,19.0,0.0,9.0,0.0,0.0,2.0,2,1,0,3,8,0,0,0,0,0,0,0,2,30.0,4,0,44
2n Cycle,Married,26224.0,2013-06-04,39,4.0,7.0,15.0,13.0,9.0,15.0,3,2,1,3,6,0,0,0,0,0,0,0,1,63.0,6,0,35
Graduation,Married,31089.0,2012-08-17,57,31.0,3.0,31.0,2.0,8.0,4.0,3,3,0,4,8,0,0,0,0,0,0,0,1,79.0,7,0,31
Graduation,Single,30081.0,2013-02-21,27,36.0,0.0,2.0,0.0,0.0,4.0,1,1,0,3,7,0,0,0,0,0,0,0,1,42.0,4,0,52
Graduation,Married,62807.0,2012-08-31,83,526.0,28.0,135.0,10.0,21.0,99.0,3,5,3,12,5,0,0,0,0,0,0,0,1,819.0,20,0,52
Graduation,Single,72906.0,2013-09-17,79,400.0,32.0,519.0,71.0,75.0,54.0,1,3,4,9,1,0,0,0,0,0,0,0,0,1151.0,16,0,58
PhD,Married,61467.0,2012-12-09,69,410.0,16.0,114.0,0.0,5.0,49.0,3,5,2,10,5,0,0,0,0,0,0,0,2,594.0,17,0,64
Master,Married,49618.0,2013-01-26,77,80.0,3.0,26.0,4.0,2.0,14.0,4,3,1,3,7,0,0,0,0,0,0,0,2,129.0,7,0,47
Master,Single,21888.0,2012-12-29,15,88.0,10.0,46.0,2.0,3.0,64.0,4,5,1,2,10,0,0,0,0,0,0,1,1,213.0,8,0,26
Graduation,Single,42429.0,2014-02-11,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,0,1,67.0,5,0,41
Graduation,Single,26150.0,2013-03-11,61,5.0,1.0,13.0,3.0,5.0,1.0,1,1,0,3,7,0,0,0,0,0,0,0,3,28.0,4,0,57
High School,Married,30801.0,2012-10-26,23,8.0,4.0,5.0,15.0,2.0,11.0,2,1,0,3,7,0,0,0,0,0,0,0,1,45.0,4,0,37
Graduation,Married,81168.0,2014-05-07,84,410.0,0.0,592.0,147.0,22.0,22.0,1,6,4,7,3,0,0,0,1,0,0,0,0,1193.0,17,1,49
Master,Single,26877.0,2013-08-19,74,101.0,13.0,76.0,20.0,18.0,40.0,2,3,1,6,6,0,0,0,0,0,0,0,0,268.0,10,0,44
Master,Single,45006.0,2013-07-18,90,162.0,25.0,53.0,16.0,0.0,10.0,1,3,1,7,3,0,0,0,0,0,0,0,0,266.0,11,0,69
High School,Married,18978.0,2012-12-11,41,2.0,8.0,1.0,4.0,7.0,15.0,1,1,0,3,8,0,0,0,0,0,0,0,1,37.0,4,0,39
Graduation,Married,22574.0,2013-10-28,28,25.0,0.0,8.0,2.0,0.0,2.0,2,2,0,3,7,0,0,0,0,0,0,0,3,37.0,5,0,46
PhD,Single,48240.0,2012-11-09,73,389.0,91.0,248.0,64.0,49.0,41.0,3,6,3,13,5,0,0,0,0,0,0,1,0,882.0,22,0,43
Graduation,Married,45837.0,2013-07-26,88,215.0,13.0,87.0,17.0,17.0,24.0,5,6,2,5,7,0,0,0,0,0,0,0,2,373.0,13,0,39
Master,Single,35791.0,2013-05-06,94,27.0,0.0,5.0,0.0,0.0,3.0,2,1,0,3,8,0,0,0,0,0,0,0,3,35.0,4,0,48
PhD,Married,84017.0,2013-06-03,31,85.0,1.0,16.0,2.0,1.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,2,107.0,1,0,37
Graduation,Single,54162.0,2013-03-18,31,5.0,6.0,10.0,6.0,5.0,10.0,1,1,0,3,4,0,0,0,0,0,0,0,2,42.0,4,0,35
Master,Married,30522.0,2012-08-17,6,179.0,8.0,83.0,19.0,11.0,26.0,5,1,2,9,2,0,0,0,0,0,0,0,1,326.0,12,0,52
PhD,Married,54456.0,2013-07-11,23,352.0,0.0,27.0,10.0,0.0,15.0,3,6,1,7,6,0,0,0,0,0,0,0,1,404.0,14,0,52
Graduation,Single,31632.0,2013-07-14,92,17.0,8.0,12.0,11.0,15.0,32.0,1,2,1,2,7,0,0,0,0,0,0,0,0,95.0,5,0,42
Graduation,Single,72298.0,2014-03-10,52,625.0,35.0,169.0,58.0,17.0,35.0,1,4,3,6,1,0,1,1,0,0,0,0,0,939.0,13,2,65
2n Cycle,Single,36975.0,2013-12-28,50,10.0,6.0,11.0,0.0,4.0,2.0,1,1,0,3,7,0,0,0,0,0,0,0,1,33.0,4,0,35
2n Cycle,Married,72635.0,2013-06-03,54,390.0,22.0,323.0,104.0,35.0,107.0,1,6,8,6,3,0,0,0,1,0,0,0,0,981.0,20,1,58
Graduation,Married,13624.0,2013-01-20,93,10.0,2.0,15.0,2.0,1.0,6.0,2,2,0,3,6,0,0,0,0,0,0,0,1,36.0,5,0,37
Graduation,Single,84196.0,2013-06-03,56,215.0,63.0,507.0,231.0,31.0,190.0,1,8,4,7,3,0,0,0,0,0,0,0,1,1237.0,19,0,38
Graduation,Married,70971.0,2012-09-21,28,1001.0,17.0,572.0,93.0,125.0,17.0,7,11,11,5,7,0,0,0,0,0,0,1,1,1825.0,27,0,52
PhD,Single,34487.0,2012-09-06,94,19.0,18.0,33.0,24.0,1.0,8.0,3,3,0,3,9,0,0,0,0,0,0,0,2,103.0,6,0,35
Graduation,Single,28769.0,2012-12-18,76,41.0,5.0,129.0,10.0,3.0,3.0,3,4,1,4,9,0,0,0,0,0,0,0,1,191.0,9,0,35
PhD,Married,69084.0,2013-11-19,43,1181.0,107.0,199.0,39.0,30.0,30.0,2,7,3,13,8,0,0,0,0,0,0,0,1,1586.0,23,0,43
PhD,Married,65488.0,2014-06-13,46,603.0,45.0,207.0,36.0,18.0,54.0,1,3,4,6,1,0,0,0,0,0,0,0,0,963.0,13,0,56
2n Cycle,Married,62466.0,2014-01-15,13,129.0,129.0,259.0,168.0,121.0,83.0,5,6,3,12,4,0,0,0,0,0,0,0,1,889.0,21,0,44
2n Cycle,Single,32218.0,2014-02-15,27,10.0,24.0,15.0,13.0,1.0,30.0,1,2,1,3,7,1,0,0,0,0,0,1,0,93.0,6,1,54
Graduation,Single,83917.0,2013-04-18,12,514.0,22.0,732.0,42.0,198.0,79.0,1,6,7,7,3,0,0,0,0,0,0,1,0,1587.0,20,0,40
Graduation,Single,46102.0,2014-03-10,3,14.0,0.0,1.0,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,3,16.0,3,0,52
Graduation,Single,84574.0,2013-06-04,72,387.0,20.0,713.0,38.0,54.0,163.0,1,9,11,11,5,0,0,0,0,0,0,0,0,1375.0,31,0,61
Graduation,Married,56181.0,2013-01-08,6,121.0,103.0,69.0,8.0,44.0,48.0,1,4,2,7,4,0,0,0,0,0,0,0,1,393.0,13,0,51
Master,Single,63120.0,2012-09-28,53,965.0,69.0,279.0,54.0,41.0,69.0,5,8,4,9,7,0,0,0,0,0,0,1,1,1477.0,21,0,62
Graduation,Married,73691.0,2013-11-06,58,707.0,21.0,250.0,85.0,43.0,73.0,2,6,2,8,2,1,0,0,0,0,0,0,1,1179.0,16,1,42
Graduation,Married,63381.0,2012-10-05,78,571.0,50.0,142.0,33.0,50.0,159.0,4,4,5,13,2,0,0,0,0,0,0,0,1,1005.0,22,0,52
